difficulty	writtenForm	reading	writtenFormWrongAnswers	readingWrongAnswers
1	鰐	わに	顎|鍔	あご|つば
1	膝	ひざ	漆|滕	うるし|とう
1	咳	せき	核|刻	かく|こく
1	蓋	ふた	盍|藍	ぶた|ふだ
1	虹	にじ	紅|江	にし|にく
1	鴨	かも	鴫|鴎	しぎ|かもめ
1	紐	ひも	紬|鈕	つむぎ|ひめ
1	樽	たる	噂|遵	うわさ|じゅん
1	釘	くぎ	針|訂	はり|てい
1	鍋	なべ	渦|過	なで|なめ
1	盆	ぼん	貧|盂	ぽん|ぼく
1	柵	さく	珊|棚	さけ|さき
1	爪	つめ	瓜|爬	うり|はう
1	棚	たな	柵|椚	たに|たま
1	鉛	なまり	沿|船	ふね|なまえ
1	畳	たたみ	塁|畏	かしこ|たたき
1	枕	まくら	沈|耽	しずむ|ふける
1	鈴	すず	玲|零	すみ|すし
1	鍵	かぎ	健|腱	かげ|かご
1	墨	すみ	黙|塁	だま|るい
1	椅子	いす	崎子|綺子	いず|いと
1	胡椒	こしょう	湖椒|胡淑	こじょう|こしょ
1	醤油	しょうゆ	奨油|醤由	しょうや|しょうり
1	刷毛	はけ	別毛|刷牛	はげ|はき
1	布団	ふとん	布困|有団	ふとう|ふとる
1	煉瓦	れんが	練瓦|煉互	れんか|れんげ
1	鏡台	きょうだい	境台|鏡治	きょうたい|きょうかい
1	碁盤	ごばん	基盤|碁磐	こばん|ごはん
1	靴	くつ	貨|訛	くち|くず
1	斧	おの	釜|爺	おに|おん
1	袴	はかま	誇|跨	はかり|はかた
1	茶碗	ちゃわん	荼碗|茶腕	ちゃばん|ちゃかん
1	蜜柑	みかん	密柑|蜜甘	みつかん|みっかん
1	林檎	りんご	林禽|林擒	りんこく|りんこ
1	雀	すずめ	省|隼	すずみ|つづみ
1	燕	つばめ	蒸|嚥	つばき|つばさ
1	苺	いちご	母|梅	いちこ|いちえ
1	器	うつわ	哭|喪	うつる|うつし
1	鎌	かま	嫌|廉	かめ|かも
1	狸	たぬき	理|埋	たぬま|たまき
1	狐	きつね	孤|弧	きずな|きつめ
1	狼	おおかみ	浪|娘	おおがみ|おかみ
1	鹿	しか	麓|塵	しが|しき
1	烏	からす	鳥|島	からし|とり
1	熊	くま	態|熟	くも|くみ
1	蛍	ほたる	営|栄	ほたて|ほてる
1	提灯	ちょうちん	堤灯|提釘	ちょうちょう|ちょうじん
1	景観	けいかん	影観|景歓	けいかく|けいけん
1	行方	ゆくえ	行万|行芳	ゆきえ|ゆくよ
1	居心地	いごこち	居芯地|居心池	いここち|いごころ
1	蓮	はす	連|漣	はず|はし
1	絹	きぬ	涓|捐	きね|きる
1	迷子	まいご	米子|迷牛	まいこ|まご
1	砂	すな	沙|紗	すね|すみ
1	風邪	かぜ	風那|風牙	かせ|かげ
1	火傷	やけど	火場|火瘍	やけに|やける
1	滲む	にじむ	惨む|浸む	にくむ|しずむ
1	霞む	かすむ	暇む|蝦む	かさむ|かがむ
1	杭	くい	抗|坑	くぎ|くき
1	袖	そで	油|抽	そと|そば
1	杖	つえ	状|仗	つや|つね
1	鞠	まり	菊|麹	まき|まめ
1	糊	のり	湖|瑚	のし|のこ
1	唾	つば	睡|垂	つばき|つばさ
1	箱	はこ	相|霜	はし|はと
1	舌	した	話|乱	しだ|しな
1	堤	つつみ	提|題	つづみ|つつじ
1	鯉	こい	理|狸	こえ|こし
1	盾	たて	循|遁	たけ|たれ
1	牙	きば	芽|邪	きざ|きみ
1	粒	つぶ	立|泣	つぼ|つる
1	沫	あわ	末|抹	あめ|あな
1	塊	かたまり	魂|傀	かたまる|かたより
1	鞄	かばん	包|抱	かばね|かんばん
1	梨	なし	利|痢	なす|なに
1	畔	ほとり	伴|判	ひとり|ほてり
1	坂	さか	阪|板	さき|さく
1	芋	いも	宇|竿	いと|いま
1	楓	かえで	風|颯	かえる|かえり
1	韮	にら	菲|悲	にわ|にれ
1	舟	ふね	舳|般	ふで|ふめ
1	羽	はね	習|翌	はな|はれ
1	匙	さじ	是|堤	さし|さき
1	蝉	せみ	禅|弾	せき|せり
1	鎖	くさり	銷|鎮	くさび|くすり
1	蜂	はち	峰|逢	はし|はず
1	蟻	あり	議|儀	あれ|あし
1	袋	ふくろ	貸|襲	ふくろう|ふところ
1	皿	さら	血|盂	さば|さか
1	庭	にわ	廷|挺	にし|にれ
1	柱	はしら	注|住	はし|はた
1	僧	そう	憎|増	ぞう|そら
1	蛙	かえる	娃|掛	かおる|かえり
1	麦	むぎ	麺|麩	むし|むき
1	豆	まめ	豊|登	まみ|まる
1	桃	もも	挑|逃	もみ|もや
1	貝	かい	員|負	かぎ|かき
1	音	おと	暗|意	おの|おや
1	虫	むし	虹|虻	むす|むち
1	巾	はば	布|市	はは|はか
1	竿	さお	芋|筆	いも|ふで
1	幕	まく	墓|暮	はか|くれ
1	網	あみ	綱|鋼	つな|はがね
1	節	ふし	筋|筍	すじ|たけのこ
1	傷	きず	湯|陽	ゆ|ひ
1	蝦	えび	暇|霞	ひま|かすみ
1	星	ほし	醒|惺	さめる|さとい
1	弓	ゆみ	引|弔	ひく|とむらう
1	旗	はた	族|旅	やから|たび
1	寺	てら	侍|待	さむらい|まつ
1	髭	ひげ	鬢|髷	びん|まげ
1	布	ぬの	有|市	ある|いち
1	峰	みね	蜂|逢	はち|あう
1	鼻	はな	息|臭	いき|くさい
1	氷	こおり	永|泳	ながい|およぐ
